date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:40	29779/29779	---M-Z	200	added ('OK')	text/html	etag:%227453-5553d6414bd00-gzip%22	https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/	C:/My%20Web%20Sites/admin/webthemez.com/demo/brilliant-free-bootstrap-admin-template/index.html	(from )
17:36:40	67/67	---M--	200	added ('OK')	text/plain	date:Tue,%2002%20Feb%202021%2012:06:38%20GMT	https://webthemez.com/robots.txt		(from )
17:36:40	21743/21743	---M-Z	200	added ('OK')	text/css	etag:%2254ef-5553d46c16a00-gzip%22	https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/assets/css/font-awesome.css	C:/My%20Web%20Sites/admin/webthemez.com/demo/brilliant-free-bootstrap-admin-template/assets/css/font-awesome.css	(from https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/)
17:36:40	117305/117305	---M-Z	200	added ('OK')	text/css	etag:%221ca39-5553d4665dc80-gzip%22	https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/assets/css/bootstrap.css	C:/My%20Web%20Sites/admin/webthemez.com/demo/brilliant-free-bootstrap-admin-template/assets/css/bootstrap.css	(from https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/)
17:36:41	442/442	---M-Z	200	added ('OK')	text/css	etag:%221ba-5553d49bc5a80-gzip%22	https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/assets/js/morris/morris-0.4.3.min.css	C:/My%20Web%20Sites/admin/webthemez.com/demo/brilliant-free-bootstrap-admin-template/assets/js/morris/morris-0.4.3.min.css	(from https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/)
17:36:42	12549/12549	---M-Z	200	added ('OK')	text/css	etag:%223105-5553d46a2e580-gzip%22	https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/assets/css/custom-styles.css	C:/My%20Web%20Sites/admin/webthemez.com/demo/brilliant-free-bootstrap-admin-template/assets/css/custom-styles.css	(from https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/)
17:36:42	10125/10125	---M-Z	200	added ('OK')	text/css	etag:%22278d-5553d4923c400-gzip%22	https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/assets/js/Lightweight-Chart/cssCharts.css	C:/My%20Web%20Sites/admin/webthemez.com/demo/brilliant-free-bootstrap-admin-template/assets/js/Lightweight-Chart/cssCharts.css	(from https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/)
17:36:42	29779/29779	---M-Z	200	added ('OK')	text/html	etag:%227453-5553d6414bd00-gzip%22	https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/index.html	C:/My%20Web%20Sites/admin/webthemez.com/demo/brilliant-free-bootstrap-admin-template/index-2.html	(from https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/)
17:36:42	36787/36787	---M-Z	200	added ('OK')	text/html	etag:%228fb3-5553d4c3d3900-gzip%22	https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/ui-elements.html	C:/My%20Web%20Sites/admin/webthemez.com/demo/brilliant-free-bootstrap-admin-template/ui-elements.html	(from https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/)
17:36:43	21140/21140	---M-Z	200	added ('OK')	text/html	etag:%225294-5553d68baec80-gzip%22	https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/chart.html	C:/My%20Web%20Sites/admin/webthemez.com/demo/brilliant-free-bootstrap-admin-template/chart.html	(from https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/)
17:36:43	19016/19016	---M-Z	200	added ('OK')	text/html	etag:%224a48-5553d4bc32700-gzip%22	https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/morris-chart.html	C:/My%20Web%20Sites/admin/webthemez.com/demo/brilliant-free-bootstrap-admin-template/morris-chart.html	(from https://webthemez.com/demo/brilliant-free-bootstrap-admin-template/)
